Date,Symbol,Side,Quantity,Price,TradeValue,PnL,CashAfterTrade,TotalValue,EntryDate,EntryPrice,Reason
2012-04-15,KBL,SELL,470,189.0,88830.0,10810.0,89910.0,331830.0,2012-04-01,166.0,SELL: Profit Target Reached (+Rs. 20)
2012-04-16,JBBL,SELL,660,97.0,64020.0,13200.0,153930.0,214070.0,2012-04-01,77.0,SELL: Profit Target Reached (+Rs. 20)
2012-04-17,ALICL,SELL,380,177.0,67260.0,7980.0,221190.0,263670.0,2012-04-01,156.0,SELL: Profit Target Reached (+Rs. 20)
2012-04-29,NHPC,SELL,240,70.0,16800.0,6000.0,237990.0,237990.0,2012-04-01,45.0,SELL: Profit Target Reached (+Rs. 20)
2012-07-22,GBBL,SELL,420,161.0,67620.0,8820.0,68880.0,237930.0,2012-07-12,140.0,SELL: Profit Target Reached (+Rs. 20)
2012-08-13,AHPC,SELL,230,339.0,77970.0,8050.0,79650.0,459330.0,2012-05-23,304.0,SELL: Profit Target Reached (+Rs. 20)
2012-09-09,ALICL,SELL,310,234.0,72540.0,9920.0,74640.0,341400.0,2012-07-02,202.0,SELL: Profit Target Reached (+Rs. 20)
2012-11-06,GBBL,SELL,10,168.0,1680.0,200.0,3780.0,232260.0,2012-10-11,148.0,SELL: Profit Target Reached (+Rs. 20)
2012-11-06,PCBL,SELL,330,255.0,84150.0,6600.0,87930.0,350580.0,2012-08-14,235.0,SELL: Profit Target Reached (+Rs. 20)
2012-12-06,SANIMA,SELL,300,254.0,76200.0,9000.0,164130.0,349550.0,2012-08-08,224.0,SELL: Profit Target Reached (+Rs. 20)
2012-12-17,CBBL,SELL,160,421.0,67360.0,4800.0,68740.0,557100.0,2012-12-13,391.0,SELL: Profit Target Reached (+Rs. 20)
2013-01-15,ALICL,SELL,430,255.0,109650.0,9460.0,111690.0,415140.0,2012-12-09,233.0,SELL: Profit Target Reached (+Rs. 20)
2013-06-03,ALICL,SELL,470,254.0,119380.0,10340.0,120790.0,425590.0,2013-01-17,232.0,SELL: Profit Target Reached (+Rs. 20)
