Date,Symbol,Side,Quantity,Price,TradeValue,PnL,CashAfterTrade,TotalValue,EntryDate,EntryPrice,Reason
2012-04-01,ALICL,BUY,380,156.0,59280.0,,140720.0,200000.0,2012-04-01,156.0,BUY: 3rd Month Low (Support reached)
2012-04-01,JBBL,BUY,660,77.0,50820.0,,89900.0,169980.0,2012-04-01,77.0,BUY: 3rd Month Low (Support reached)
2012-04-01,KBL,BUY,470,166.0,78020.0,,11880.0,262540.0,2012-04-01,166.0,BUY: 3rd Month Low (Support reached)
2012-04-01,NHPC,BUY,240,45.0,10800.0,,1080.0,79830.0,2012-04-01,45.0,BUY: 3rd Month Low (Support reached)
2012-05-23,AHPC,BUY,230,304.0,69920.0,,168070.0,237990.0,2012-05-23,304.0,BUY: 3rd Month Low (Support reached)
2012-07-02,ALICL,BUY,310,202.0,62620.0,,105450.0,214530.0,2012-07-02,202.0,BUY: 3rd Month Low (Support reached)
2012-07-09,JBBL,BUY,510,89.0,45390.0,,60060.0,153510.0,2012-07-09,89.0,BUY: 3rd Month Low (Support reached)
2012-07-12,GBBL,BUY,420,140.0,58800.0,,1260.0,207060.0,2012-07-12,140.0,BUY: 3rd Month Low (Support reached)
2012-08-08,SANIMA,BUY,300,224.0,67200.0,,1680.0,304080.0,2012-08-08,224.0,BUY: 3rd Month Low (Support reached)
2012-08-14,PCBL,BUY,330,235.0,77550.0,,2100.0,342850.0,2012-08-14,235.0,BUY: 3rd Month Low (Support reached)
2012-10-07,MNBBL,BUY,220,323.0,71060.0,,3580.0,442860.0,2012-10-07,323.0,BUY: 3rd Month Low (Support reached)
2012-10-11,GBBL,BUY,10,148.0,1480.0,,2100.0,204860.0,2012-10-11,148.0,BUY: 3rd Month Low (Support reached)
2012-12-09,ALICL,BUY,430,233.0,100190.0,,63940.0,334220.0,2012-12-09,233.0,BUY: 3rd Month Low (Support reached)
2012-12-13,CBBL,BUY,160,391.0,62560.0,,1380.0,517500.0,2012-12-13,391.0,BUY: 3rd Month Low (Support reached)
2012-12-17,MDB,BUY,460,145.0,66700.0,,2040.0,236940.0,2012-12-17,145.0,BUY: 3rd Month Low (Support reached)
2013-01-17,ALICL,BUY,470,232.0,109040.0,,2650.0,387770.0,2013-01-17,232.0,BUY: 3rd Month Low (Support reached)
